index,Open,High,Low,Close,Volume,Adjusted
2024-01-02,470.5,470.75,462.5,463.75,187193,463.75
2024-01-03,464.75,466,461.75,465.25,147913,465.25
2024-01-04,465,469,463.5,466.5,127034,466.5
2024-01-05,466.5,467.75,460,460.75,151589,460.75
2024-01-08,461,462.5,452,455,214324,455
2024-01-09,454.75,460.5,451.75,459.25,215153,459.25
2024-01-10,459,461.75,454.5,459.5,193507,459.5
2024-01-11,459,461.5,455.75,457.75,165189,457.75
2024-01-12,457,460,441,447,314095,447
2024-01-16,447.75,451.25,442,443.5,175650,443.5
2024-01-17,443.5,448.25,440,442.25,205711,442.25
2024-01-18,442,445,436.75,444,180948,444
2024-01-19,443.5,449.5,443,445.5,148101,445.5
2024-01-22,445.5,448,444,445.75,112771,445.75
2024-01-23,445.75,450.5,444,446.5,152301,446.5
2024-01-24,446.5,452.75,446.25,452.25,156004,452.25
2024-01-25,451.5,453.25,447.5,451.75,169289,451.75
2024-01-26,451,451.75,445.5,446.25,135726,446.25
2024-01-29,446.25,447.5,437.5,440.25,203565,440.25
2024-01-30,439.75,448.25,436.5,447.75,194898,447.75
2024-01-31,447.25,448.75,443.25,448.25,135485,448.25
2024-02-01,448,448,443.5,447.25,153724,447.25
2024-02-02,446.5,448.75,442,442.75,129450,442.75
2024-02-05,442.75,445,439.5,442.75,137664,442.75
2024-02-06,442.75,445.5,438.25,438.75,193360,438.75
2024-02-07,438.5,439.25,432.75,434.25,245418,434.25
2024-02-08,434.5,437,429.75,433.25,222878,433.25
2024-02-09,433,437,428.25,429,206271,429
2024-02-12,430.25,432.75,427.75,430.5,198795,430.5
2024-02-13,430.25,434.75,428.75,430.75,182682,430.75
2024-02-14,430.75,431,422.25,424.25,230224,424.25
2024-02-15,424,425,417.25,417.75,217729,417.75
2024-02-16,417.5,421.5,415,416.5,176972,416.5
2024-02-20,416.25,421.5,414.75,418.75,217838,418.75
2024-02-21,418.5,419.5,410,411,180048,411
2024-02-22,410,415.5,404.25,406,199941,406
2024-02-23,406,409.25,398.5,399.75,218218,399.75
2024-02-26,399.75,407.75,394.5,407,227175,407
2024-02-27,406.5,411.5,406.25,408.25,139596,408.25
2024-02-28,408.25,414.75,406.5,413.25,118959,413.25
2024-02-29,415,418.75,409.75,415.75,8781,415.75
2024-03-01,415.5,418,409.25,412.25,3475,412.25
2024-03-04,412,420.75,412,417.5,2214,417.5
2024-03-05,417.25,418,412.5,413.5,1544,413.5
2024-03-06,413.25,418,412,418,2542,418
2024-03-07,418.25,427.5,418.25,426,1645,426
2024-03-08,424.25,426.5,420.5,426.25,755,426.25
2024-03-11,421.75,428.5,419.75,428.25,615,428.25
2024-03-12,425,435,424.75,429,527,429
2024-03-13,430,432.5,426.5,426.5,75,426.5
2024-03-14,426,426,422.5,422.5,153348,422.5
2024-03-15,433.75,440,431.75,436.75,140242,436.75
2024-03-18,437,440.5,434,436,121822,436
2024-03-19,436.5,440,435,439.5,115115,439.5
2024-03-20,439,439.5,435.5,439,131971,439
2024-03-21,439,445.75,437.5,440.75,158789,440.75
2024-03-22,440.25,441.5,436,439.25,132898,439.25
2024-03-25,439,441.25,437,437.75,118606,437.75
2024-03-26,437.25,440.75,432,432.5,155311,432.5
2024-03-27,432,432.25,426.25,426.75,165189,426.75
2024-03-28,426.75,448,426,442,360086,442
2024-04-01,441.75,442,432.25,435.5,200474,435.5
2024-04-02,435.75,436.75,424.5,426.5,235504,426.5
2024-04-03,428.25,433,425.75,431.75,187684,431.75
2024-04-04,432.25,436,429.75,435.25,153811,435.25
2024-04-05,435,438.5,432.25,434.25,192940,434.25
2024-04-08,433.75,437.5,431.5,435.5,215991,435.5
2024-04-09,435,435.75,429.75,431.25,219304,431.25
2024-04-10,431,435.75,430.75,434.25,210255,434.25
2024-04-11,434,437.5,427.5,428.75,250695,428.75
2024-04-12,428.25,437.5,427,435.5,202052,435.5
2024-04-15,434.5,435,430.25,431.5,152252,431.5
2024-04-16,431.25,432.25,428.5,431,148116,431
2024-04-17,431,433,429.5,430.25,139235,430.25
2024-04-18,429.5,431,426.25,426.75,180777,426.75
2024-04-19,427.25,434,426.75,433.5,163574,433.5
2024-04-22,432.25,441,431,439.75,192556,439.75
2024-04-23,439.25,443.75,438.5,443,144096,443
2024-04-24,442.75,444.5,437.25,437.75,161654,437.75
2024-04-25,437.75,442,436,441,168023,441
2024-04-26,441,442.75,439,440,165048,440
2024-04-29,440,441.5,435,439.25,117196,439.25
2024-04-30,439.25,441.25,437,439.5,14833,439.5
2024-05-01,440,444.25,437.25,443.25,4184,443.25
2024-05-02,442.75,452.25,442.5,452,2944,452
2024-05-03,451.25,458.5,446.75,447,2540,447
2024-05-06,447,458.5,444.5,457,1907,457
2024-05-07,457,459.5,453.75,453.75,1021,453.75
2024-05-08,452.75,452.75,444.25,445.5,634,445.5
2024-05-09,447.25,447.5,441,442.75,573,442.75
2024-05-10,443.25,455.75,443.25,455.75,316,455.75
2024-05-13,453.5,461.5,453.5,458.5,317,458.5
2024-05-14,461,461,453.25,453.75,246243,453.75
2024-05-15,467.75,473.25,461.5,462.5,222335,462.5
2024-05-16,462.25,465.25,456,457,200532,457
2024-05-17,457.25,460.5,451,452.5,217848,452.5
2024-05-20,452.75,463.5,452.25,460.5,185086,460.5
2024-05-21,460,461.25,455,458,168069,458
2024-05-22,458.5,463.25,458,461.25,175899,461.25
2024-05-23,461.25,467.25,458.5,464,166864,464
2024-05-24,464.5,466.75,460.75,464.75,169182,464.75
2024-05-28,467,471,460,462.5,166128,462.5
2024-05-29,462.5,463,454.25,455.25,166319,455.25
2024-05-30,455.25,457,447.5,448.75,225176,448.75
2024-05-31,449,453.75,445.5,446.25,174860,446.25
2024-06-03,445.75,449,439,443.5,262804,443.5
2024-06-04,442.5,448.25,440,442.5,221274,442.5
2024-06-05,442.5,444.25,438.25,439.25,183305,439.25
2024-06-06,439.25,453.25,438.75,452,261537,452
2024-06-07,452,454.25,444.25,448.75,238072,448.75
2024-06-10,448.75,452.75,447.75,451.75,230930,451.75
2024-06-11,450.75,456.25,449,449.5,271960,449.5
2024-06-12,449,455,448.5,454.25,276468,454.25
2024-06-13,453.5,460.5,453.5,458.5,296248,458.5
2024-06-14,458,459.5,448,450,228388,450
2024-06-17,448,450,443.25,443.75,172134,443.75
2024-06-18,444.25,452,443.75,450,191652,450
2024-06-20,448.25,449.5,439.25,439.75,229750,439.75
2024-06-21,440,442.5,434.25,435,217553,435
2024-06-24,435,436,425,433.5,203582,433.5
2024-06-25,433.5,434.5,423.5,425.5,172164,425.5
2024-06-26,425,430,418.75,420,161453,420
2024-06-27,420,421.25,413.5,413.75,142693,413.75
2024-06-28,414,419,390.5,397.25,15899,397.25
2024-07-01,397.25,401.25,391.75,398.25,1731,398.25
2024-07-02,398.25,403.75,398.25,402,764,402
2024-07-03,402.25,405,399,403.5,584,403.5
2024-07-05,406,412,405.5,411.25,398,411.25
2024-07-08,411.75,411.75,394.5,395.75,666,395.75
2024-07-09,400.25,406.75,397,400.25,585,400.25
2024-07-10,399.75,405.75,399.75,403.25,214,403.25
2024-07-11,411,411,406.75,406.75,65,406.75
2024-07-12,395.75,400,395.25,400,211323,400
2024-07-15,403,403,389.5,390.5,140155,390.5
2024-07-16,390,398,390,395.75,133849,395.75
2024-07-17,395.75,400,395,398,115086,398
2024-07-18,398,399,390,391.25,114790,391.25
2024-07-19,391,396.25,390,390.5,111883,390.5
2024-07-22,391,401,391,400.25,150907,400.25
2024-07-23,399,407,397.25,402.5,143835,402.5
2024-07-24,401.5,409.5,399,403.75,149625,403.75
2024-07-25,403,408.75,402,406,119013,406
2024-07-26,405.75,406.5,394,394.5,154397,394.5
2024-07-29,392.75,397,390,396.25,142225,396.25
2024-07-30,396,396.75,387.25,388.75,123321,388.75
2024-07-31,387.75,390.5,381,382.75,156261,382.75
2024-08-01,382.5,384,378,382,116742,382
2024-08-02,383,387.75,381.75,386.5,113751,386.5
2024-08-05,385.75,391.75,378.75,390.75,157029,390.75
2024-08-06,390.75,393,385.75,388.75,107227,388.75
2024-08-07,387.75,388,381.75,383.25,199142,383.25
2024-08-08,383,386.5,378.5,379.25,157714,379.25
2024-08-09,379,381.25,375.25,376.75,157231,376.75
2024-08-12,376.25,385.25,372.5,383.25,203695,383.25
2024-08-13,382.75,385,376.25,377.75,172577,377.75
2024-08-14,377.25,382,376,381,125031,381
2024-08-15,380.75,383.5,374.5,375,151990,375
2024-08-16,374.5,375.75,367.75,370.5,137465,370.5
2024-08-19,370.25,378.5,370,378,151084,378
2024-08-20,377.75,378.5,374.75,375,122507,375
2024-08-21,374.75,378,374,375.5,96191,375.5
2024-08-22,375.5,376.5,370.75,371.5,131932,371.5
2024-08-23,371,374,367.25,367.75,138358,367.75
2024-08-26,367.25,367.5,360.5,362,143588,362
2024-08-27,361.5,369.25,360.75,367.25,161618,367.25
2024-08-28,367,367.75,362.25,365.25,160784,365.25
2024-08-29,364.25,372.75,363.75,371.75,100531,371.75
2024-08-30,371.25,378.75,371,378,6393,378
2024-09-03,378,386.75,376.5,386.5,3017,386.5
2024-09-04,385.5,391.25,383,390.5,1519,390.5
2024-09-05,389,390,386.75,390,485,390
2024-09-06,389.75,395.25,383,383.75,504,383.75
2024-09-09,383.75,385.25,381,384.25,504,384.25
2024-09-10,382.75,382.75,379.5,379.5,296,379.5
2024-09-11,379.75,381.25,377,380.5,117,380.5
2024-09-12,380.5,387.5,380.5,386.25,123,386.25
2024-09-13,381.25,394,381,390.75,229028,390.75
2024-09-16,413,413,408.5,410.75,150818,410.75
2024-09-17,410,413,408.5,412.5,123973,412.5
2024-09-18,412,415,411,412.75,134644,412.75
2024-09-19,412.25,413,405.25,405.75,166204,405.75
2024-09-20,406,407.25,401.5,401.75,178231,401.75
2024-09-23,401.5,414.25,401.25,413.5,228072,413.5
2024-09-24,413,418.25,410,411.75,210496,411.75
2024-09-25,411.75,415.5,408.5,415.25,158957,415.25
2024-09-26,414.75,419.25,412.5,413.25,204872,413.25
2024-09-27,413,419.75,410.75,418,218578,418
2024-09-30,416.5,427.75,415.5,424.75,272926,424.75
2024-10-01,423.5,432.5,421.75,429,262757,429
2024-10-02,428.5,434.25,428.5,432.5,239747,432.5
2024-10-03,431.5,433.25,427.5,428.25,181331,428.25
2024-10-04,427.5,427.5,423,424.75,165354,424.75
2024-10-07,424,427,421.25,426,161439,426
2024-10-08,426,428,419.25,420.75,229659,420.75
2024-10-09,420.25,423.5,420,421,148815,421
2024-10-10,421,424,418,418.5,171360,418.5
2024-10-11,418.5,422.75,415.25,415.75,224069,415.75
2024-10-14,415,415.25,407.5,408.25,257782,408.25
2024-10-15,408,408,400.5,401.25,305403,401.25
2024-10-16,401.25,406.75,401,404.75,214285,404.75
2024-10-17,404.5,407.5,399,406.75,255482,406.75
2024-10-18,406.75,409.5,403.75,404.75,193538,404.75
2024-10-21,403.75,411.75,403,409.5,241760,409.5
2024-10-22,409,417,408.25,416.5,267224,416.5
2024-10-23,416,420,414,419,246005,419
2024-10-24,418.75,424,418.25,421.5,287987,421.5
2024-10-25,420.5,421,414.5,415.25,247609,415.25
2024-10-28,413.25,414.75,410,410.75,251359,410.75
2024-10-29,410,414.75,410,413.75,197431,413.75
2024-10-30,413.25,414.25,411,411.5,170092,411.5
